start_date,end_date,brand,audience,keyword,score
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Games,Rewards,5.5
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Games,Engagement,2.7
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Games,Community based gaming,0.9
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Games,Tournament ,0.9
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Games,Rewards,2.9
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Games,Engagement,2.9
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Games,Community based gaming,2.9
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Games,Tournament ,1.4
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),Macro,Rewards,2.0
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),Macro,Engagement,4.0
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),Macro,Community based gaming,2.0
"May 5, 2020 ","May 5, 2020 ",Mobile Premier League (MPL),Macro,Tournament ,2.0
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),Macro,Rewards,2.5
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),Macro,Engagement,2.5
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),Macro,Community based gaming,2.5
"Apr 28, 2020","Apr 28, 2020",Mobile Premier League (MPL),Macro,Tournament ,2.5
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),Macro,Rewards,4.0
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),Macro,Engagement,2.0
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),Macro,Community based gaming,2.0
"Apr 22, 2020","Apr 22, 2020",Mobile Premier League (MPL),Macro,Tournament ,2.0
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Macro,Rewards,6.4
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Macro,Engagement,1.8
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Macro,Community based gaming,0.9
"Apr 21, 2020","Apr 21, 2020",Mobile Premier League (MPL),Macro,Tournament ,0.9
"Apr 20, 2020","Apr 20, 2020",Mobile Premier League (MPL),Macro,Rewards,5.7
